test,ms
AgentMessageEvents_CorrelateDeltaAndFinal,16.1
ParallelTurns_CorrelateIndependently,0.2
ParallelTurns_TaskCompleteCleansState,0.1
UserInputSubmission_LongInput_RoundTrips,13.2
UserInputSubmission_NonAscii_RoundTrips,0.1
UserInputSubmission_PasteFlowPreservesLines,0.2
NormalizeAssistantText_NormalizesSmartQuotes,11.1
ExecApprovalSubmission_MatchesRequest,1.1
PatchApprovalSubmission_MatchesRequest,0.3
RememberedExecApprovals_AreHonored,0.4
RememberedPatchApprovals_AreHonored,0.1
DiffParsing_WithFilesArray_ParsesDocuments,1.5
DiffParsing_MarksBinaryAndEmpty,0.4
PatchApply_WithMatchingOriginal_WritesFile,2.2
PatchApply_WithMismatchedOriginal_ReportsConflict,0.4
PatchApply_RespectsReadOnlyFiles,0.3
ExecTranscriptTracker_HandlesAnsiAndTrim,2.4
ExecTranscriptTracker_CancelClearsState,0.2
ExecConsole_LongRapidStream_Responsive,0.8
ExtractMcpTools_ParsesValidResponse,0.8
ExtractMcpTools_HandlesEmptyResponse,0.1
ExtractCustomPrompts_ParsesValidResponse,0.6
ExtractCustomPrompts_HandlesEmptyResponse,0.0
CodexOptions_ExportToJson,8.4
CodexOptions_ImportFromJson,51.3
CodexOptions_GetEffectiveValues,0.1
