Field,Type,Access,Static,Readonly,Const,File,Line
_assistantChunkCounter,int,private,no,no,no,ToolWindows/MyToolWindowControl.Authentication.cs,216
_telemetry,TelemetryTracker,private,no,yes,no,ToolWindows/MyToolWindowControl.Authentication.cs,217
_host,CodexCliHost,private,no,no,no,ToolWindows/MyToolWindowControl.xaml.cs,369
_assistantTurns,"Dictionary<string, AssistantTurn>",private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,377
_execTurns,"Dictionary<string, ExecTurn>",private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,385
_execConsoleTurns,List<ExecTurn>,private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,393
_mcpTools,ObservableCollection<McpToolInfo>,private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,401
_mcpToolRuns,ObservableCollection<McpToolRun>,private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,409
_customPrompts,ObservableCollection<CustomPromptInfo>,private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,417
_execCommandIndex,"Dictionary<string, string>",private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,425
_execIdRemap,"Dictionary<string, string>",private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,433
_rememberedExecApprovals,"Dictionary<string, bool>",private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,441
_rememberedPatchApprovals,"Dictionary<string, bool>",private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,449
_approvalQueue,Queue<ApprovalRequest>,private,no,yes,no,ToolWindows/MyToolWindowControl.xaml.cs,457
_activeApproval,ApprovalRequest,private,no,no,no,ToolWindows/MyToolWindowControl.xaml.cs,465
_lastUserInput,string,private,no,no,no,ToolWindows/MyToolWindowControl.xaml.cs,473
_options,CodexOptions,private,no,no,no,ToolWindows/MyToolWindowControl.xaml.cs,481
_workingDir,string,private,no,no,no,ToolWindows/MyToolWindowControl.xaml.cs,489
_authKnown,bool,private,no,no,no,ToolWindows/MyToolWindowControl.xaml.cs,497
_isAuthenticated,bool,private,no,no,no,ToolWindows/MyToolWindowControl.xaml.cs,505
